Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Цена,Ссылка на изображение,Ссылка,Рейтинг,Кол-во отзывов,Код продукта
dns,смартфоны,samsung,galaxy a51,черный,4,64,18849,https://c.dns-shop.ru/thumb/st1/fit/200/200/41db62183711f3a410f8ec7a06f73410/5263fb4ee9db5cd9ed29d9dedf32d29932f99921172187eeddf4d51a0c09f1ae.jpg,https://www.dns-shop.ru/product/bb628e0335be3332/65-smartfon-samsung-galaxy-a51-64-gb-cernyj/,4.5,1167,1623517
мтс,смартфоны,samsung,galaxy a51,black,4,64,21490,https://mtscdn.ru/upload/iblock/dad/smartfon_samsung_a515_galaxy_a51_4_64gb_black.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-samsung-a515-galaxy-a51-4-64gb-black,4.1,4,none
мвидео,смартфоны,samsung,galaxy a51,blue,4,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30051583b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a51-64gb-blue-sm-a515f-30051583,0.0,0,30051583
мвидео,смартфоны,samsung,galaxy a51,red,4,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30047893b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a51-64gb-red-sm-a515f-30047893,4.8,43,30047893
мвидео,смартфоны,samsung,galaxy a51,black,4,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30047894b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a51-64gb-black-sm-a515f-30047894,4.1,174,30047894
мвидео,смартфоны,samsung,galaxy a51,white,4,64,19990,https://img.mvideo.ru/pdb/small_pic/480/30047892b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a51-64gb-white-sm-a515f-30047892,4.5,130,30047892

dns,смартфоны,xiaomi,redmi note 8 pro,белый,6,128,20339,https://c.dns-shop.ru/thumb/st1/fit/200/200/d4c4d16ce659a5a930eae4ef8313ce9f/62f8eb61cab646e16e941da8ff38e75654dd59ec8acb26e1e95c4b6e2e375de8.jpg,https://www.dns-shop.ru/product/623bc19fd3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-belyj/,4.5,2326,1394641
dns,смартфоны,xiaomi,redmi note 8 pro,зеленый,6,128,20339,https://c.dns-shop.ru/thumb/st1/fit/200/200/dd8017c6c0b12bf8fa04a9c4bcc7cf2d/8e66298df43603b23b5e9c9021dc2d84324817d716c1ecc7630292f217132d42.jpg,https://www.dns-shop.ru/product/4aed36f4d3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-zelenyj/,4.5,2326,1394640
dns,смартфоны,xiaomi,redmi note 8 pro,оранжевый,6,128,20339,https://c.dns-shop.ru/thumb/st4/fit/200/200/60d7dd2d5d4f2bab960586891132ecd3/2232439286db00d50fd144f50bb6035c4084df5e14e76ec70c95190361332968.jpg,https://www.dns-shop.ru/product/68c8e736e0ee1b80/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-oranzevyj/,4.5,2326,1699372
dns,смартфоны,xiaomi,redmi note 8 pro,серый,6,128,20339,https://c.dns-shop.ru/thumb/st1/fit/200/200/eedfa7af6a77045f73f2a34b62f48788/05a7e7020e1e2bd418ec143206330fac1b9e16a7ca1655a1b0436c5053566d76.jpg,https://www.dns-shop.ru/product/2b45326ad3943332/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-seryj/,4.5,2326,1394639
dns,смартфоны,xiaomi,redmi note 8 pro,синий,6,128,20339,https://c.dns-shop.ru/thumb/st1/fit/200/200/dd8017c6c0b12bf8fa04a9c4bcc7cf2d/8e66298df43603b23b5e9c9021dc2d84324817d716c1ecc7630292f217132d42.jpg,https://www.dns-shop.ru/product/9ad91632dffb1b80/653-smartfon-xiaomi-redmi-note-8-pro-128-gb-sinij/,4.5,2326,1399464
мтс,смартфоны,xiaomi,redmi note 8 pro,orange,6,128,20990,https://mtscdn.ru/upload/iblock/178/smartfon_xiaomi_redmi_note_8_pro_6_64gb_orange_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-128gb-orange,4.4,4,none
мтс,смартфоны,xiaomi,redmi note 8 pro,orange,6,128,20990,https://mtscdn.ru/upload/iblock/178/smartfon_xiaomi_redmi_note_8_pro_6_64gb_orange_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-128gb-orange,4.4,4,none
мтс,смартфоны,xiaomi,redmi note 8 pro,grey,6,128,20990,https://mtscdn.ru/upload/iblock/ee0/smartfon_xiaomi_redmi_note_8_pro_6_64gb_black_1.jpg/resize/260x260/,https://www.shop.mts.ru/product/smartfon-xiaomi-redmi-note-8-pro-6-128gb-black,4.4,4,none
