Магазин,Категория,Бренд,Модель,Цвет,RAM,ROM,Ссылка на изображение,Ссылка,Дата и время,Текущая цена,Средняя цена,Историческая мин. цена,Исторический мин. магазин,Исторический мин. дата,Разница цены от средней
3,смартфоны,samsung,galaxy m31,черный,6,128,https://img.mvideo.ru/pdb/small_pic/480/30049941b.jpg,https://www.dns-shop.ru/product/dd4b81f398fa3332/64-smartfon-samsung-galaxy-m31-128-gb-cernyj/,05-12-2020 21:58:00,17399,18694,17399,3,2020-12-05 21:57:59.712324,1295
5,смартфоны,xiaomi,mi note 10 lite,midnight black,6,128,https://img.mvideo.ru/pdb/small_pic/480/30050059b.jpg,https://www.shop.mts.ru/product/smartfon-xiaomi-mi-note-10-lite-6-128gb-midnight-black,05-12-2020 21:58:00,24990,30565,24990,5,2020-12-05 21:56:56.762968,5575
3,смартфоны,samsung,galaxy s20 fe,белый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/2be4227bd62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-belyj/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,samsung,galaxy s20 fe,зеленый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/77008e31d62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-zelenyj/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,samsung,galaxy s20 fe,красный,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/957ace47d62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-krasnyj/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,samsung,galaxy s20 fe,оранжевый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/ad1a7416d62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-oranzevyj/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,samsung,galaxy s20 fe,розовый,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/611758f4d62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-rozovyj/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,samsung,galaxy s20 fe,синий,6,128,https://img.mvideo.ru/pdb/small_pic/480/30053164b.jpg,https://www.dns-shop.ru/product/1bfc27b5d62a3332/65-smartfon-samsung-galaxy-s20-fe-128-gb-sinij/,05-12-2020 21:58:00,43499,46744,43499,3,2020-12-05 21:57:59.812099,3245
3,смартфоны,sony,xperia 5,синий,6,128,https://c.dns-shop.ru/thumb/st4/fit/200/200/80ec0216c7c5565ca70e10f58b58eb98/99496c7601bb6c8e5e0fd050a85b8c5295b1e69bbca8893d486c96d92eba1bb6.jpg,https://www.dns-shop.ru/product/b017bea3ea6f1b80/61-smartfon-sony-xperia-5-128-gb-sinij/,05-12-2020 21:58:00,49999,56249,62499,3,2020-12-05 21:56:57.414848,6250
3,смартфоны,apple,iphone 12,белый,0,128,https://img.mvideo.ru/pdb/small_pic/480/30052885b.jpg,https://www.dns-shop.ru/product/0e6a19330da43332/61-smartfon-apple-iphone-12-128-gb-belyj/,05-12-2020 21:58:00,75399,80474,75399,3,2020-12-05 21:57:59.914010,5075
3,смартфоны,apple,iphone 12,красный,0,128,https://img.mvideo.ru/pdb/small_pic/480/30052885b.jpg,https://www.dns-shop.ru/product/031bb8fd0da43332/61-smartfon-apple-iphone-12-128-gb-krasnyj/,05-12-2020 21:58:00,75399,80474,75399,3,2020-12-05 21:57:59.914010,5075
3,смартфоны,apple,iphone 12,синий,0,128,https://img.mvideo.ru/pdb/small_pic/480/30052885b.jpg,https://www.dns-shop.ru/product/e44bc3020da33332/61-smartfon-apple-iphone-12-128-gb-sinij/,05-12-2020 21:58:00,75399,80474,75399,3,2020-12-05 21:57:59.914010,5075
3,смартфоны,apple,iphone 12,черный,0,128,https://img.mvideo.ru/pdb/small_pic/480/30052885b.jpg,https://www.dns-shop.ru/product/ca299be70da33332/61-smartfon-apple-iphone-12-128-gb-cernyj/,05-12-2020 21:58:00,75399,80474,75399,3,2020-12-05 21:57:59.914010,5075
