ћагазин, атегори€,Ѕренд,ћодель,÷вет,RAM,ROM,÷ена,—сылка на изображение,—сылка,–ейтинг, ол-во отзывов, од продукта
мтс,смартфоны,apple,iphone 12 pro max,золотой,0,256,119990,https://mtscdn.ru/upload/iblock/f3e/ruru_iphone12promax_q121_gold_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-pro-max-256gb-zolotoj,4.4,4,none
мтс,смартфоны,apple,iphone xr,yellowЕ,0,64,45090,https://mtscdn.ru/upload/iblock/ebc/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-xr-new-64gb-yellow-zhjeltyj,0,0,none
мтс,смартфоны,apple,iphone se,white,0,256,51990,https://mtscdn.ru/upload/iblock/89c/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-se-2020-new-256gb-white,0,0,none
мтс,смартфоны,apple,iphone 12 pro max,серебристый,0,512,139990,https://mtscdn.ru/upload/iblock/864/ruru_iphone12promax_q121_silver_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-pro-max-512gb-serebristyj,5.0,5,none
мтс,смартфоны,apple,iphone 11 Е,красный,0,64,54890,https://mtscdn.ru/upload/iblock/bc1/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-new-64gb-krasnyj,0,0,none
мтс,смартфоны,apple,iphone 11 Е,желтый,0,64,54890,https://mtscdn.ru/upload/iblock/d9d/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-11-new-64gb-zheltyj,0,0,none
мтс,смартфоны,apple,iphone se,black,0,128,41890,https://mtscdn.ru/upload/iblock/621/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-se-2020-new-128gb-black,0,0,none
мтс,смартфоны,apple,iphone se,red,0,64,37790,https://mtscdn.ru/upload/iblock/feb/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-se-2020-new-64gb-red,0,0,none
мтс,смартфоны,apple,iphone se,white,0,64,37790,https://mtscdn.ru/upload/iblock/3fd/bez-nazvaniya.png/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-se-2020-new-64gb-white,0,0,none
мтс,смартфоны,apple,iphone 12 pro max,серебристый,0,256,119990,https://mtscdn.ru/upload/iblock/c1b/ruru_iphone12promax_q121_silver_pdp_image_1b.jpg/resize/208x208/,https://www.shop.mts.ru/product/smartfon-apple-iphone-12-pro-max-256gb-serebristyj,4.7,4,none
